title,author,genre,publication year,price_id
The Silent Conspiracy,Emma Roberts,Thriller,1997,48
Whispers of the Heart,Sophia Anderson,Romance,2022,13
The Lost Kingdom,David Turner,Adventure,1960,72
Stellar Odyssey,Alexander Adams,Science Fiction,1964,39
The Enigma Files,Lily Mitchell,Mystery,1989,49
Realm of Shadows,Emily Collins,Fantasy,2009,91
Beyond the Horizon,Michael Harris,Adventure,1983,24
Eternal Echoes,Sarah Davis,Romance,1996,1
The Quantum Paradox,Olivia Roberts,Science Fiction,1963,75
The Crimson Rose,James Thompson,Romance,1989,81
Whispers in the Mist,Sophia Anderson,Mystery,2016,89
The Forbidden Quest,David Turner,Adventure,1979,64
Legend of the Moonstone,Emma Adams,Fantasy,1998,74
Echoes of the Past,Oliver Collins,Historical Fiction,1977,34
The Enigma Cipher,Lily Mitchell,Mystery,1975,38
Chronicles of Destiny,Sarah Turner,Fantasy,1994,30
The Timekeeper's Secret,Michael Harris,Science Fiction,1983,19
Beyond the Veil,Emily Davis,Paranormal,1975,22
Whispers in the Wind,Alexander Thompson,Romance,2008,57
The Hidden Artifact,Sophia Roberts,Action,2017,92
The Lost Chronicles,David Adams,Fantasy,2002,7
Chronicles of the Unknown,Lily Roberts,Supernatural,1989,41
The Secret Society,Olivia Harris,Thriller,2001,77
Journey to the Stars,James Turner,Science Fiction,1972,73
The Cursed Amulet,Emma Mitchell,Adventure,1971,6
The Enchanted Forest,Oliver Davis,Fantasy,1991,98
The Timekeeper's Legacy,Sarah Roberts,Time Travel,2005,63
The Shattered Mirror,Michael Thompson,Mystery,1979,83
Whispers of the Soul,Emily Anderson,Romance,2005,14
The Forgotten Prophecy,David Collins,Fantasy,1969,87
The Haunted Manor,Lily Adams,Supernatural,1987,9
Beyond the Shadows,Sophia Harris,Thriller,1974,56
The Enigma Key,Alexander Roberts,Mystery,1967,32
Realm of Dreams,Emma Davis,Fantasy,1968,82
Echoes of Destiny,Oliver Harris,Science Fiction,2012,61
The Crimson Crown,Sarah Thompson,Fantasy,1961,96
Whispers in the Night,Michael Anderson,Mystery,1981,20
The Forgotten Legacy,Oliver Thompson,Adventure,1972,70
Whispers of the Moon,Sophia Roberts,Fantasy,1969,99
The Silent Conspiracy,David Turner,Thriller,1960,8
Echoes from the Past,Emma Adams,Mystery,1997,97
The Enchanted Journey,Alexander Harris,Young Adult,1968,10
The Secret Key,Lily Mitchell,Science Fiction,1984,51
Realm of Shadows,Olivia Davis,Fantasy,1987,84
The Lost Chronicles,James Anderson,Historical Fiction,2017,67
Whispers in the Wind,Sarah Collins,Romance,1986,11
The Mystery of the Manor,Michael Turner,Mystery,2007,5
Beyond the Stars,Sophia Roberts,Science Fiction,1961,44
The Hidden Path,David Thompson,Fantasy,2007,95
The Enigma Files,Emily Harris,Mystery,1978,100
The Legend Seeker,Alexander Roberts,Adventure,1976,62
Echoes of Eternity,Olivia Anderson,Fantasy,2021,18
Whispers in the Woods,Emma Turner,Thriller,2009,45
The Forgotten Prophecy,Lily Davis,Fantasy,1982,90
The Time Traveler's Secret,Oliver Roberts,Science Fiction,2009,3
The Cursed Amulet,Sarah Mitchell,Adventure,1999,12
Whispers of Destiny,Michael Collins,Romance,2012,25
The Shattered Mirror,Sophia Thompson,Mystery,1979,29
Beyond the Horizon,David Adams,Sci-Fi/Fantasy,1981,16
